Frans Kafka	The Castle	I dream of a grave, deep and narrow, where we could clasp each other in our arms as with clamps, and I would hide my face in you and you would hide your face in me, and nobody would ever see us any more.
William Shakespeare	Othello	O, beware, my lord, of jealousy;It is the green-ey'd monster, which doth mockThe meat it feeds on. That cuckold lives in bliss,Who, certain of his fate, loves not his wronger:But O, what damnèd minutes tells he o'erWho dotes, yet doubts, suspects, yet strongly loves!
William Shakespeare	Othello	For she had eyes and chose me.
William Shakespeare	Hamlet	The lady doth protest too much, methinks.
William Shakespeare	The Merchant of Venice	The devil can cite Scripture for his purpose.An evil soul producing holy witnessIs like a villain with a smiling cheek,A goodly apple rotten at the heart.O, what a goodly outside falsehood hath!
William Shakespeare	Julius Caesar	Why, man, he doth bestride the narrow worldLike a Colossus; and we petty menWalk under his huge legs, and peep aboutTo find ourselves dishonourable graves.
William Shakespeare		What do you read, my lord?Hamlet: Words, words, words.Lord Polonius: What is the matter, my lord?Hamlet: Between who?Lord Polonius: I mean, the matter that you read, my lord.
William Shakespeare	Much Ado About Nothing	Some Cupid kills with arrows, some with traps.
William Shakespeare	Hamlet	Sweets to the sweet, farewell!  I hoped thou shouldst have been my Hamlet’s wife; I thought thy bride-bed to have decked, sweet maid, And not have strewed thy grave.
William Shakespeare		If love be rough with you, be rough with love;Prick love for pricking, and you beat love down.Give me a case to put my visage in:A visor for a visor! what care IWhat curious eye doth quote deformities?Here are the beetle brows shall blush for me.
William Shakespeare	A Midsummer Night’s Dream	Are you sure That we are awake? It seems to me That yet we sleep, we dream
William Shakespeare	Romeo and Juliet	I defy you, stars.
William Shakespeare	A Midsummer Night’s Dream	The lunatic, the lover, and the poetAre of imagination all compact:One sees more devils than vast hell can hold,That is, the madman: the lover, all as frantic,Sees Helen's beauty in a brow of Egypt:The poet's eye, in a fine frenzy rolling,Doth glance from heaven to earth, from earth to heaven,And as imagination bodies forthThe forms of things unknown, the poet's penTurns them to shapes and gives to airy nothingA local habitation and a name.
William Shakespeare	Hamlet	Madness in great ones must not unwatched go.
William Shakespeare	Julius Caesar	A coward dies a thousand times before his death, but the valiant taste of death but once. It seems to me most strange that men should fear, seeing that death, a necessary end, will come when it will come.
William Shakespeare	Romeo and Juliet	Go wisely and slowly. Those who rush stumble and fall.
William Shakespeare	Hamlet	I must be cruel only to be kind;Thus bad begins, and worse remains behind.
William Shakespeare	Richard III	So wise so young, they say, do never live long.
William Shakespeare	Hamlet	If we are true to ourselves, we can not be false to anyone.
William Shakespeare	Much Ado About Nothing	For which of my bad parts didst thou first fall in love with me?
William Shakespeare	Hamlet	What piece of work is a man, how noble in reason, how infinite in faculties, in form and moving, how express and admirable in action, how like an angel in apprehension, how like a god! The beauty of the world. The paragon of animals. And yet, to me, what is this quintessence of dust?
Flannery O'Connor		The truth does not change according to our ability to stomach it.
Flannery O'Connor		She looked at nice young men as if she could smell their stupidity.
Flannery O'Connor		Everywhere I go I'm asked if I think the university stifles writers. My opinion is that they don't stifle enough of them. There's many a best-seller that could have been prevented by a good teacher.
Flannery O'Connor		I write to discover what I know.
Flannery O'Connor	The Habit of Being: Letters of Flannery O'Connor	I don't deserve any credit for turning the other cheek as my tongue is always in it.
Flannery O'Connor	Mystery and Manners: Occasional Prose	Anybody who has survived his childhood has enough information about life to last him the rest of his days.
Flannery O'Connor	Mystery and Manners: Occasional Prose	Art never responds to the wish to make it democratic; it is not for everybody; it is only for those who are willing to undergo the effort needed to understand it.
Flannery O'Connor	Flannery O'Connor: Collected Works	You shall know the truth and the truth shall make you odd.
Flannery O'Connor	Mystery and Manners: Occasional Prose	Writing a novel is a terrible experience, during which the hair often falls out and the teeth decay. I'm always irritated by people who imply that writing fiction is an escape from reality. It is a plunge into reality and it's very shocking to the system.
Flannery O'Connor	The Habit of Being: Letters of Flannery O'Connor	All human nature vigorously resists grace because grace changes us and the change is painful.
Flannery O'Connor		I write because I don't know what I think until I read what I say.
Flannery O' Connor	Wise Blood	Where you come from is gone, where you thought you were going to never was there, and where you are is no good unless you can get away from it
Flannery O'Connor		Whenever I’m asked why Southern writers particularly have a penchant for writing about freaks, I say it is because we are still able to recognize one.
Flannery O'Connor		Accepting oneself does not preclude an attempt to become better.
Flannery O'Connor	Wise Blood	Where you come from is gone, where you thought you were going to was never there, and where you are is no good unless you can get away from it. Where is there a place for you to be? No place... Nothing outside you can give you any place... In yourself right now is all the place you've got.
Flannery O'Connor		People without hope not only don't write novels, but what is more to the point, they don't read them.
Flannery O'Connor	Wise Blood	In yourself right now is all the place you've got.
Flannery O'Connor	Mystery and Manners: Occasional Prose	There is something in us, as storytellers and as listeners to stories, that demands the redemptive act, that demands that what falls at least be offered the chance to be restored. The reader of today looks for this motion, and rightly so, but what he has forgotten is the cost of it. His sense of evil is diluted or lacking altogether, and so he has forgotten the price of restoration. When he reads a novel, he wants either his sense tormented or his spirits raised. He wants to be transported, instantly, either to mock damnation or a mock innocence.
Flannery O'Connor		If you don't hunt it down and kill it, it will hunt you down and kill you.
